"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"As a new user
  I want to register on the application
  So that I can create my account and login","13583","Register the user","","2026-05-29","passed","2026-05-29","","","",""
"As a user
  I want to login to the sample application
  So that I can access the secure area","7120","Successful login with valid credentials","","2026-05-29","passed","2026-05-29","","","",""
